Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
3000000.09,300,0.1,0.9,193.6783737236,108.0598049972,1.3870979380,0.6520782688
3000000.09,300,0.12,0.88,224.3786748793,102.4764762079,4.5007725902,1.7584070476
3000000.09,300,0.14,0.86,254.4243097820,96.3085676264,4.7275538045,1.0540665563
3000000.09,300,0.16,0.84,283.1545201456,90.7042200888,2.5797912608,0.4499673976
3000000.09,300,0.18,0.82,309.2627921660,86.0051042886,4.1444749978,0.5923278211
3000000.09,300,0.2,0.8,333.1545642908,80.3890870358,3.4797382560,0.2489750091
3000000.09,300,0.22,0.78,357.2093664977,75.6913304922,4.9347438119,0.8758954862
3000000.09,300,0.24,0.76,377.5653043753,71.3196960728,2.5454965139,0.8246224690
3000000.09,300,0.26,0.74,398.1202789789,67.5053568560,4.1991193557,0.5841711756
3000000.09,300,0.28,0.72,416.0304928465,63.7732360866,4.7409860192,0.5405631829
3000000.09,300,0.3,0.7,432.8670540591,59.8308283767,4.7235654334,0.8522965113
3000000.09,300,0.32,0.68,449.9671184386,56.3313725527,4.7847774200,0.6016501586
3000000.09,300,0.34,0.66,465.5226250904,52.8270101439,5.7460771143,0.9900883253
3000000.09,300,0.36,0.64,479.8013506971,49.9023209426,5.2712581451,0.9951504276
3000000.09,300,0.38,0.62,496.7234731520,46.4853487869,2.9814946378,0.3858226923
3000000.09,300,0.4,0.6,506.2367739923,43.8309527317,2.4515026282,0.3251565750
3000000.09,300,0.42,0.58,518.5145849375,41.5275100979,5.1718530590,0.4914180960
3000000.09,300,0.44,0.56,531.5206211633,38.4771062381,4.3248887798,0.8875767024
3000000.09,300,0.46,0.54,542.4557298088,36.3303096384,3.9977866870,0.6939156844
3000000.09,300,0.48,0.52,551.2999981089,34.4948822559,4.1189721662,0.6287229716
3000000.09,300,0.5,0.5,563.2451113014,31.9511495788,1.6120151391,0.5472971912
3000000.09,300,0.52,0.48,571.2184007074,29.8410860596,4.6015240322,0.4413240215
3000000.09,300,0.54,0.46,579.2919813464,28.1314727934,3.8368743826,0.2223682057
3000000.09,300,0.56,0.44,589.2181765554,26.1164909304,2.4618122989,0.7609129759
3000000.09,300,0.58,0.42,597.0533495672,24.3379534092,4.1700874580,0.4661738129
3000000.09,300,0.6,0.4,605.1340224239,22.6414354199,4.9650090051,0.6702838310
3000000.09,300,0.62,0.38,611.2224185766,21.0657255042,5.5062010653,0.5949509289
3000000.09,300,0.64,0.36,620.9054780133,19.6051214150,6.9541870389,0.5192026950
3000000.09,300,0.66,0.34,630.1567305007,17.7648206004,2.5740085248,0.3885781700
3000000.09,300,0.68,0.32,632.2834865642,16.6269239176,4.2985799156,0.3547856473
3000000.09,300,0.7,0.3,640.4349906724,15.1757351667,5.8621935605,0.6371026251
3000000.09,300,0.72,0.28,644.0621144915,13.9894688409,4.6533059635,0.3428189527
3000000.09,300,0.74,0.26,651.0823189442,12.7115024239,2.1694731889,0.2993808184
3000000.09,300,0.76,0.24,657.6055225999,11.4052899920,2.7029203910,0.4846656745
3000000.09,300,0.78,0.22,661.8271197471,10.2949431197,3.8712989685,0.2926213503
3000000.09,300,0.8,0.2,667.5598139023,9.2690359190,4.3189566467,0.3577635031
3000000.09,300,0.82,0.18,671.2355830610,8.0449756293,3.8833629385,0.3238917040
3000000.09,300,0.84,0.16,676.9479098217,7.0510606875,4.0859673316,0.1025231485
3000000.09,300,0.86,0.14,682.2292479659,6.0701415647,3.4405004707,0.1385392525
3000000.09,300,0.88,0.12,686.3367331481,5.1262207434,5.4084838542,0.1763569989
3000000.09,300,0.9,0.1,689.2660918525,4.2600759211,1.3738649714,0.1298394642
3000000.09,300,0.92,0.08,695.5765289760,3.2980206276,3.8084489902,0.0955390974
3000000.09,300,0.94,0.06,698.0267992795,2.4680452918,2.3884704123,0.0404803968
3000000.09,300,0.96,0.04,702.2971326921,1.6380036507,2.2626061221,0.0555325740
3000000.09,300,0.98,0.02,707.0342795135,0.7850535632,3.3637172164,0.0365719911
3600000.088,300,0.02,0.98,47.3996552328,144.3882249374,0.8157208940,1.4696493180
3600000.088,300,0.04,0.96,91.3553113456,136.0665245576,1.1969911219,0.9990668574
3600000.088,300,0.06,0.94,132.2985025102,128.7313792425,1.2965678143,0.9622885518
