Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1600000.092,300,0.3,0.7,734.1529337644,259.3376229895,1.0635617382,1.0456302898
1600000.092,300,0.32,0.68,762.0618079405,245.7878716947,2.2751651296,1.5680458693
1600000.092,300,0.34,0.66,788.3722310840,233.8853596680,1.6184153436,0.8893583729
1600000.092,300,0.36,0.64,811.5937391108,222.1089176139,1.7843720012,0.5894228098
1600000.092,300,0.38,0.62,835.6765651495,211.4624815939,2.7280026575,0.6782147146
1600000.092,300,0.4,0.6,856.9062294880,200.7334073994,1.0746525859,0.2927122652
1600000.092,300,0.42,0.58,876.7644595777,191.0026238252,1.5901938338,0.4189843381
1600000.092,300,0.44,0.56,897.0579204826,180.8864436518,1.4644636733,0.5181680594
1600000.092,300,0.46,0.54,916.6385318639,171.3845428837,2.0851780713,0.2753109882
1600000.092,300,0.48,0.52,934.9129895489,162.2325901937,1.7995089358,0.3671430724
1600000.092,300,0.5,0.5,951.6263032500,153.3521381948,1.0212986376,1.0407388159
1600000.092,300,0.52,0.48,968.5888009052,144.9847459598,2.1248222847,0.9494916237
1600000.092,300,0.54,0.46,985.5593840154,136.8579949803,1.9682950264,0.7223345162
1600000.092,300,0.56,0.44,1000.0021500238,129.0366000212,2.0137898803,0.4884638605
1600000.092,300,0.58,0.42,1015.4482450214,121.2289376841,1.3545835379,0.5543426624
1600000.092,300,0.6,0.4,1029.7399106989,114.0547596424,1.7478103773,1.0586423139
1600000.092,300,0.62,0.38,1043.2461205526,106.6917537186,1.5360126626,0.2216189615
1600000.092,300,0.64,0.36,1057.3609101198,99.8201089768,1.7301799628,0.3739775708
1600000.092,300,0.66,0.34,1070.0414268017,93.0269808910,1.5891523457,0.4471204656
1600000.092,300,0.68,0.32,1081.3875720922,86.2995546564,0.8859594348,0.3896406840
1600000.092,300,0.7,0.3,1093.9874784162,79.9041011383,2.5973989437,0.2572846341
1600000.092,300,0.72,0.28,1106.4397302238,73.6893363696,1.5468345523,0.5190551952
1600000.092,300,0.74,0.26,1117.3911262386,67.8892517609,1.3715863488,0.3016254924
1600000.092,300,0.76,0.24,1128.6549518300,61.7904956113,1.0500813317,0.2981900030
1600000.092,300,0.78,0.22,1138.6005498073,56.1053286316,1.2160480035,0.2615311415
1600000.092,300,0.8,0.2,1148.5141315537,50.2056695253,1.8143286911,0.2273512746
1600000.092,300,0.82,0.18,1158.3100943496,44.9087391827,1.1711507848,0.2149426555
1600000.092,300,0.84,0.16,1168.7037025021,39.3653316530,1.8891383074,0.2159460274
1600000.092,300,0.86,0.14,1178.5117934804,34.0003443059,1.4285946711,0.1385460682
1600000.092,300,0.88,0.12,1187.6131939898,29.0069689840,2.5822922549,0.1045448149
1600000.092,300,0.9,0.1,1196.2289245539,23.8550710619,1.4003599079,0.0652069139
1600000.092,300,0.92,0.08,1205.3335809512,18.9084870952,3.2364584975,0.1158414198
1600000.092,300,0.94,0.06,1213.8605071728,14.0677811249,1.6195112779,0.1747557226
1600000.092,300,0.96,0.04,1222.7823725968,9.2851747092,2.4896784955,0.1145314901
1600000.092,300,0.98,0.02,1231.2399755385,4.6098489915,1.5532706780,0.0302729852
2000000.09,300,0.02,0.98,92.3696482862,608.9726214712,0.5931178554,0.9650414788
2000000.09,300,0.04,0.96,172.8387007047,572.7700183059,0.3246747460,2.4906972323
2000000.09,300,0.06,0.94,245.6250786344,538.9650651404,0.8531051704,0.8147377535
2000000.09,300,0.08,0.92,310.8954564035,507.7503130771,0.6646992724,1.9052838899
2000000.09,300,0.1,0.9,369.9845581245,480.9805146371,0.9182956296,1.9079817021
2000000.09,300,0.12,0.88,424.7687519950,455.1993610792,1.4229390877,1.4709781535
2000000.09,300,0.14,0.86,474.1872154720,431.3131015529,1.4603650082,1.1027899946
2000000.09,300,0.16,0.84,520.9330291004,408.9665235199,1.8580941419,1.3176061479
2000000.09,300,0.18,0.82,564.0520549310,387.6208856547,2.6232847016,1.1796682107
2000000.09,300,0.2,0.8,604.1727064609,368.7619433661,0.9881787609,0.6249339984
2000000.09,300,0.22,0.78,641.7162955846,349.9645121410,1.5721929103,1.6893378960
2000000.09,300,0.24,0.76,676.2642779125,332.2130460739,0.9428604138,0.9821372013
2000000.09,300,0.26,0.74,708.7199452779,316.1621392538,0.9723178229,1.4823436838
2000000.09,300,0.28,0.72,739.3613505075,300.9326441114,1.1188678557,1.3142544955
2000000.09,300,0.3,0.7,768.4786474782,285.8638189149,1.2564522711,0.1924962524
2000000.09,300,0.32,0.68,795.6239074119,271.5034792573,1.5079699248,0.9486269153
2000000.09,300,0.34,0.66,821.6938018367,258.0733905327,1.5065475345,1.9661294399
2000000.09,300,0.36,0.64,845.6173064274,245.3013074059,1.5919913981,1.1898479099
2000000.09,300,0.38,0.62,868.8905559395,233.1329747637,3.7704214280,1.3384498727
2000000.09,300,0.4,0.6,890.8476670323,221.4235679932,1.0032395350,0.6646232298
2000000.09,300,0.42,0.58,912.2624828627,209.8644407863,1.2847979167,0.7561300123
2000000.09,300,0.44,0.56,930.6944441249,199.6207706213,1.3354798659,1.1244557725
2000000.09,300,0.46,0.54,950.5388638234,188.7714277509,1.9011491572,0.4331919756
2000000.09,300,0.48,0.52,969.54,177.64,1.40,0.39
2000000.09,300,0.5,0.5,986.5579648346,169.2249538613,2.2654239845,0.5444764153
2000000.09,300,0.52,0.48,1003.3141205941,159.9178900798,2.2881185546,1.0051541345
2000000.09,300,0.54,0.46,1018.7263543575,150.8649577337,1.1147761632,0.2871408563
2000000.09,300,0.56,0.44,1034.5477989654,141.8720817977,1.1323902010,0.8139978953
2000000.09,300,0.58,0.42,1049.2436559933,133.7898882412,1.6431018305,0.8044291959
2000000.09,300,0.6,0.4,1063.9002795721,125.7327701409,1.2284419624,0.7460672116
2000000.09,300,0.62,0.38,1077.9910569660,117.5218743816,2.7773629923,1.4004155928
2000000.09,300,0.64,0.36,1092.3178319680,110.0743773318,0.6366287528,0.4739435050
2000000.09,300,0.66,0.34,1103.8979942014,102.6687881576,1.7448843892,0.6083213556
2000000.09,300,0.68,0.32,1116.9662057351,95.3967153968,1.4032792979,0.6439276170
2000000.09,300,0.7,0.3,1128.3425222535,88.2345555641,2.9313710194,0.4257702317
2000000.09,300,0.72,0.28,1139.7080672093,81.4568918307,1.1756665914,0.5678981471
2000000.09,300,0.74,0.26,1151.2227046987,74.5762247736,1.3011874391,0.2098855694
2000000.09,300,0.76,0.24,1162.0272059043,68.2104011625,1.7126318450,0.1957468435
2000000.09,300,0.78,0.22,1172.7652869968,62.0680919934,1.3981090133,0.4048041260
2000000.09,300,0.8,0.2,1183.8761672540,55.3904356903,3.5081990585,0.2853457253
2000000.09,300,0.82,0.18,1193.5799341575,49.3768979933,2.3869712693,0.2191563046
2000000.09,300,0.84,0.16,1204.1537828378,43.4971711039,1.5427910011,0.1915439739
2000000.09,300,0.86,0.14,1214.0292435633,37.7810581021,1.5808696377,0.3875304705
2000000.09,300,0.88,0.12,1223.2925430985,31.9433776266,2.0826607802,0.1137127864
2000000.09,300,0.9,0.1,1231.7209787111,26.3330040826,2.2441784210,0.1809019182
2000000.09,300,0.92,0.08,1240.0602301276,20.9021936632,2.4141468581,0.0344288908
2000000.09,300,0.94,0.06,1249.5053981346,15.5309374521,0.8906369885,0.1089198122
2000000.09,300,0.96,0.04,1258.0403826787,10.2917430008,1.3208344581,0.1226106895
2000000.09,300,0.98,0.02,1266.8343731054,5.0834945716,1.1391349788,0.0505785059
2400000.088,300,0.02,0.98,96.6379002654,667.9723296487,0.4879517523,1.2341057377
2400000.088,300,0.04,0.96,181.5532203342,625.9045288120,0.9329318552,2.8667391733
2400000.088,300,0.06,0.94,256.8108443134,587.5184214276,0.6160972085,1.2449796712
2400000.088,300,0.08,0.92,324.6143300019,553.6254097715,1.0004448721,1.5372318586
2400000.088,300,0.1,0.9,385.4187419989,523.2272724927,1.4656063477,1.0670655196
2400000.088,300,0.12,0.88,441.7919719596,494.1731138555,2.1223718597,1.8961969490
2400000.088,300,0.14,0.86,492.9783283020,468.0249546751,0.9886206936,1.7615810482
2400000.088,300,0.16,0.84,540.4929655936,443.3927695989,1.5395572027,0.9050721802
2400000.088,300,0.18,0.82,583.9956978133,420.0650450767,0.7903993482,0.5565984225
2400000.088,300,0.2,0.8,624.4356976815,398.9417267594,1.9393994524,0.6764665475
2400000.088,300,0.22,0.78,662.1853845094,378.8661745998,0.2436231151,1.8214857142
2400000.088,300,0.24,0.76,697.4205491112,360.3831563450,2.3812249087,1.3019558437
2400000.088,300,0.26,0.74,730.3917591933,341.8529657544,1.6561501916,1.7297543202
2400000.088,300,0.28,0.72,760.1732572959,325.5668379948,1.0338304253,0.9919453013
2400000.088,300,0.3,0.7,789.2547666320,308.8425131763,0.6601010386,1.1583256998
2400000.088,300,0.32,0.68,816.3491804497,294.1866537269,0.7761813191,1.3749601554
2400000.088,300,0.34,0.66,843.6042723353,279.0414419028,1.5299371920,0.9903729236
2400000.088,300,0.36,0.64,866.9305385554,265.2673276182,1.0766457173,1.8878992861
2400000.088,300,0.38,0.62,890.5413422456,252.2122797450,1.3779512654,1.0391671649
2400000.088,300,0.4,0.6,913.2100005068,239.1586345735,0.9281523924,1.6004151699
2400000.088,300,0.42,0.58,933.8380038935,227.0775984604,1.0596407575,0.9965573153
