Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
500000.095,240.,0.596,0.404,572.5189478560,129.8998781000,7.3928751105,11.0268142007
500000.095,240.,0.692,0.308,604.6380723409,88.9406839826,7.6422883158,7.9828752518
500000.095,240.,0.788,0.212,630.8103662970,54.7035483952,8.9944622624,4.7886932842
500000.095,240.,0.884,0.116,646.2311043249,29.9178840575,7.8774596923,4.2052434812
500000.095,240.,0.98,0.02,666.2356511454,5.4586435877,6.9864664800,1.1054353210
500000.095,260.,0.02,0.98,50.4360904704,683.3111748748,0.8771328482,2.8501663051
500000.095,260.,0.116,0.884,225.8101485364,489.4518586729,3.9461253161,2.7871941540
500000.095,260.,0.212,0.788,355.6252858767,345.9769302622,3.5597171003,4.6015210065
500000.095,260.,0.308,0.692,447.2734958229,239.6797709511,12.0287654425,14.5851612036
500000.095,260.,0.404,0.596,506.5431588567,169.5614691485,13.9275653451,8.9198846360
500000.095,260.,0.5,0.5,542.7427058203,126.3127616630,12.5431758921,15.6861143030
500000.095,260.,0.596,0.404,573.2225222783,91.0904442908,5.8605444698,5.6820705912
500000.095,260.,0.692,0.308,599.1089737547,60.0749031491,5.2288196973,5.8808117026
500000.095,260.,0.788,0.212,616.3288049124,37.8319807232,2.8709085779,4.7517013623
500000.095,260.,0.884,0.116,633.0105383046,19.7010897729,2.3976416281,2.7065018874
500000.095,260.,0.98,0.02,644.8336522015,3.3911711904,5.5042201812,0.2530873162
500000.095,280.,0.02,0.98,35.2192646540,601.6780210893,1.5606007040,4.9146353808
500000.095,280.,0.116,0.884,178.5188172062,463.9916153171,4.4834220966,5.2809138043
500000.095,280.,0.212,0.788,300.7075535177,340.1020280487,3.3070744729,7.2225631677
500000.095,280.,0.308,0.692,389.3415587307,249.5204049179,10.1001230495,7.5259923576
500000.095,280.,0.404,0.596,460.0140038733,174.9065463265,10.7514064880,11.1429429832
500000.095,280.,0.5,0.5,506.5473748225,125.3917735413,5.9599455126,4.9167759272
500000.095,280.,0.596,0.404,538.9410289457,90.0599814234,9.6600338455,7.1886892492
500000.095,280.,0.692,0.308,568.9562459749,56.8458527822,4.3563812689,5.3115390742
500000.095,280.,0.788,0.212,587.2143289717,36.7243217935,3.9754919354,2.9568165035
500000.095,280.,0.884,0.116,603.7199052605,19.1366219814,3.1407181085,0.8167816460
500000.095,280.,0.98,0.02,618.5289066539,2.9942797745,3.7227383927,0.5577536556
500000.095,300.,0.02,0.98,22.4888749215,472.3018759917,0.6040000397,3.5293622161
500000.095,300.,0.116,0.884,124.0482582842,398.9819834344,2.3486541063,3.0531480486
500000.095,300.,0.212,0.788,221.9216227667,322.8897611476,4.6149048235,4.1431570051
500000.095,300.,0.308,0.692,307.8129314425,251.0081339778,4.9965653794,4.0010338348
500000.095,300.,0.404,0.596,381.9548353563,185.7857355629,5.9505999762,4.0500505433
500000.095,300.,0.5,0.5,439.8269057346,133.8230565468,8.1962478619,8.2090596870
500000.095,300.,0.596,0.404,483.9793100104,93.3128543679,7.3654030445,6.2258798106
500000.095,300.,0.692,0.308,516.3948168895,64.2836797488,6.6522138785,3.2530758788
500000.095,300.,0.788,0.212,544.0637084309,38.5680256284,6.6610052997,2.7444603601
500000.095,300.,0.884,0.116,567.0329926529,18.9205821179,3.2976783776,0.3547305160
500000.095,300.,0.98,0.02,583.4060470840,3.0897519364,3.1190659675,0.1795516788
500000.095,320.,0.02,0.98,12.7188660926,317.6331548396,0.2502787212,6.7769639882
500000.095,320.,0.116,0.884,71.8506670455,285.8986628560,1.0515338004,3.6859572029
500000.095,320.,0.212,0.788,136.2811640548,254.5332389724,2.8921954209,3.3823236809
500000.095,320.,0.308,0.692,204.3879832229,217.8590173325,2.8108399722,1.4686365415
500000.095,320.,0.404,0.596,275.9969348970,176.6266819062,6.0029051367,1.8125222921
500000.095,320.,0.5,0.5,339.1933484569,135.6090224553,7.2038770126,3.2016820317
500000.095,320.,0.596,0.404,388.0472572367,100.6311138175,5.1131705301,3.1383461806
500000.095,320.,0.692,0.308,435.2834296812,68.3232433073,4.5602574680,1.1142735137
500000.095,320.,0.788,0.212,470.3603352241,42.5511242226,3.6749749463,1.2205112329
500000.095,320.,0.884,0.116,501.8366654599,20.8244788778,4.0812403922,0.8248245526
500000.095,320.,0.98,0.02,525.1869324561,3.3412528886,3.2169086540,0.1123110792
500000.095,340.,0.02,0.98,7.7963044497,210.1283181435,0.2320957980,3.4297040403
