Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1000000.095,200.,0.98,0.02,1926.2785984584,16.8259600753,18.2152170209,0.6936383402
1000000.095,220.,0.02,0.98,263.2658862690,1068.4810126551,3.2887098447,4.5419977155
1000000.095,220.,0.116,0.884,821.0975944972,696.3254145532,3.3297421118,1.5193033249
1000000.095,220.,0.212,0.788,1072.2439264373,524.5901443128,2.3729016545,3.6540602009
1000000.095,220.,0.308,0.692,1234.1879378415,413.0960597694,4.7961988688,4.3296897993
1000000.095,220.,0.404,0.596,1354.5604198021,328.4085036675,5.7218675849,2.8141098680
1000000.095,220.,0.5,0.5,1453.8433220013,260.8497353350,5.0902079794,1.7811686230
1000000.095,220.,0.596,0.404,1541.2616872913,202.1531492456,9.1352237346,3.5317010067
1000000.095,220.,0.692,0.308,1613.3332350323,149.9588298051,9.2262324089,1.8450718420
1000000.095,220.,0.788,0.212,1687.0703864940,100.8388859676,8.8151636989,0.9886801535
1000000.095,220.,0.884,0.116,1753.1422824671,54.9669410225,5.6950882721,0.9972275592
1000000.095,220.,0.98,0.02,1811.8382628565,9.5238591095,18.2720146780,0.2254499782
1000000.095,240.,0.02,0.98,199.5544547595,880.2130335643,2.0886105684,3.8573498814
1000000.095,240.,0.116,0.884,699.6025095206,580.8216814555,1.2374485339,1.6599663468
1000000.095,240.,0.212,0.788,937.2697911386,429.4784717389,4.0718883844,2.3144039087
1000000.095,240.,0.308,0.692,1086.7351509107,331.6423889572,2.1515445688,3.0290181580
1000000.095,240.,0.404,0.596,1196.0776614285,260.4159022367,2.1617803594,2.4653130644
1000000.095,240.,0.5,0.5,1281.2762166123,202.1572361294,4.5571492768,3.2683673151
1000000.095,240.,0.596,0.404,1353.3735130002,154.4306945188,5.5924384491,2.6080382306
1000000.095,240.,0.692,0.308,1410.0170630538,111.7413063745,5.9998918076,1.3786491559
1000000.095,240.,0.788,0.212,1464.5731548444,74.4354524098,6.9400831258,0.3561877801
1000000.095,240.,0.884,0.116,1513.5259992191,39.4769416769,3.7462082424,0.8178636164
1000000.095,240.,0.98,0.02,1557.5775656093,6.6293237078,11.3112532334,0.1190893251
1000000.095,260.,0.02,0.98,144.7034337898,689.2145832094,1.3452369640,1.7850477419
1000000.095,260.,0.116,0.884,571.3416894853,480.7082173500,2.1085883395,2.0103406016
1000000.095,260.,0.212,0.788,803.5947551124,358.6516683933,1.6341627152,0.5658889748
1000000.095,260.,0.308,0.692,953.9065643416,274.6618611018,0.4874188083,0.8035581219
1000000.095,260.,0.404,0.596,1060.8585748300,212.5452287054,0.5217956565,1.5741312080
1000000.095,260.,0.5,0.5,1142.8077538885,163.0959270643,1.7261505488,1.1325425318
1000000.095,260.,0.596,0.404,1210.2031954258,122.1159992611,2.5763104895,0.9376275135
