Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
3000000.09,200.,0.788,0.212,825.0566932672,27.0361772013,9.3650503626,4.0711007383
3000000.09,200.,0.884,0.116,847.5095635234,18.0367050713,10.7138091029,2.6813616158
3000000.09,200.,0.98,0.02,892.9458564784,4.2988976155,11.5809046083,0.8085413562
3000000.09,220.,0.02,0.98,302.7622290516,171.8612207937,13.1453362085,4.2901675792
3000000.09,220.,0.116,0.884,678.4701907116,61.0576403321,13.9571578319,3.1077615353
3000000.09,220.,0.212,0.788,771.6403823919,34.0930064412,16.0209309327,3.8159599855
3000000.09,220.,0.308,0.692,816.9843855904,22.1361566464,15.0910827681,1.4534308616
3000000.09,220.,0.404,0.596,770.9019734141,32.0610172945,8.9647627401,1.5946129130
3000000.09,220.,0.5,0.5,798.4017749255,24.9720963381,6.1755247234,2.9166599970
3000000.09,220.,0.596,0.404,804.7519466535,21.2814163185,8.2043116133,1.6033072003
3000000.09,220.,0.692,0.308,768.2652141543,36.3782151451,13.9960293080,3.9255179946
3000000.09,220.,0.788,0.212,797.3094824676,27.5490147676,21.9814993595,4.0837321851
3000000.09,220.,0.884,0.116,821.0477717264,17.4795424791,1.8629505078,0.7557040988
3000000.09,220.,0.98,0.02,867.6929241026,3.8319432473,15.1175235389,0.5660925385
3000000.09,240.,0.02,0.98,195.0973628269,181.0168085162,3.0753095039,2.0808345019
3000000.09,240.,0.116,0.884,544.9427341632,84.1603278730,5.8093398343,1.6905783884
3000000.09,240.,0.212,0.788,675.6247565838,48.4407222754,11.2418086478,2.2048315232
3000000.09,240.,0.308,0.692,738.2658605187,31.9260199082,11.4828507399,3.1428009493
3000000.09,240.,0.404,0.596,778.9123605744,21.7793683674,11.1822011932,1.8915206048
3000000.09,240.,0.5,0.5,806.7619539019,15.6223669912,1.2834384455,0.7386767177
3000000.09,240.,0.596,0.404,789.1824374180,17.3105636780,6.7717068715,1.3223408816
3000000.09,240.,0.692,0.308,804.0399971034,12.5687473292,9.7423632440,1.1301426423
3000000.09,240.,0.788,0.212,816.5885852849,8.6440762602,7.5423768205,0.5813480336
3000000.09,240.,0.884,0.116,836.1436481131,4.3786296180,5.4602617508,0.3158711788
3000000.09,240.,0.98,0.02,837.0189005229,3.2069835886,14.6169117398,0.3834036691
3000000.09,260.,0.02,0.98,117.3951161871,174.2005676930,3.3060099415,1.5910832220
3000000.09,260.,0.116,0.884,426.1421768272,99.2268583760,6.7517614359,2.5779450209
3000000.09,260.,0.212,0.788,565.2603922501,62.7773982939,4.7431300093,1.6037523107
3000000.09,260.,0.308,0.692,645.3284390617,42.4468316902,3.9641756901,1.0007807890
3000000.09,260.,0.404,0.596,697.1607303823,29.8087954274,5.8097684461,0.8385617150
3000000.09,260.,0.5,0.5,730.2754770494,21.5901001751,7.9957348476,1.0919383052
3000000.09,260.,0.596,0.404,759.4274925168,15.1167566917,4.5701337404,0.7698546221
3000000.09,260.,0.692,0.308,778.2345082250,10.2423630964,5.2619174187,0.6709790505
3000000.09,260.,0.788,0.212,789.4443039192,7.2138731051,4.5116509599,0.2617211114
3000000.09,260.,0.884,0.116,802.6359198425,3.6428739707,6.2595183545,0.3313364170
